,stop_name,stop_lat,stop_lon
151,WASHINGTON AVE + FOX,43.667657,-70.253486
152,BRIGHTON AVE + BEACON,43.664033,-70.28641
153,CONGRESS ST + HAMPSHIRE,43.660984,-70.253674
155,BUCKNAM RD + 4 BUCKNAM,43.726324,-70.232951
156,FOREST AVE + LINCOLN,43.669285,-70.282151
158,FOREST AVE + POLAND,43.684406,-70.291584
159,CONGRESS ST + 690 CONGRESS,43.652991,-70.267801
161,VERANDA ST + KENSINGTON,43.682986,-70.255114
162,BRACKETT ST + SPRING,43.650011,-70.265261
163,ROUTE 1 + 196 ROUTE,43.717435,-70.233348
164,AUBURN ST + LONGVIEW,43.719356,-70.293077
165,ST JOHN ST + 70 ST JOHN,43.645943,-70.278157
166,SACO ST + 345 SACO,43.664884,-70.376522
167,AUBURN ST + LYSETH MOORE,43.706226,-70.289954
168,BAXTER BLVD + 43 BAXTER,43.664247,-70.26996
169,WEST ST + CARLETON,43.650738,-70.271025
170,CONGRESS ST + 181 CONGRESS,43.664336,-70.24987
173,FOREST AVE + HIGH,43.658968,-70.267347
174,ST JOHN ST + 117 ST JOHN,43.647796,-70.278476
175,CONGRESS ST + FREDERIC,43.6538,-70.283242
177,MARGINAL WAY + FRANKLIN,43.66487,-70.260323
178,NORTH ST + QUEBEC,43.667508,-70.250075
179,EASTERN PROMENADE + WALNUT,43.67061,-70.249079
180,AUBURN ST + RUSTIC,43.709604,-70.290766
181,ROUTE 1 + ANDREWS,43.697846,-70.241356
182,WASHINGTON AVE + MAINE,43.695287,-70.284384
183,ROUTE 1 + 64 ROUTE,43.700149,-70.24041
185,ROUTE 1 + NORTHBROOK,43.736937,-70.223644
186,NORTH ST + CUMBERLAND,43.666157,-70.248648
187,MAINE MEDICAL,43.652467,-70.274963
188,FOREST AVE + READ,43.684744,-70.291506
189,EAST END,43.671161,-70.253955
190,WASHINGTON AVE + OAKLEY,43.683288,-70.263334
191,FOREST AVE + CONGRESS,43.654894,-70.262884
192,CONGRESS ST + FROST,43.659478,-70.305666
194,MAIN ST + HASKELL,43.679711,-70.35357
195,FORESIDE RD + OLD POWERHOUSE,43.732225,-70.211634
196,MAIN ST + SCHOOL,43.678826,-70.356046
197,MECHANIC ST + PROSPECT,43.670048,-70.371053
198,EMERY ST + SPRUCE,43.64815,-70.269432
202,WASHINGTON AVE + LAMBERT,43.721442,-70.296767
203,TD BANK,43.733987,-70.298534
204,MAIN ST + LIZA HARMON,43.67819,-70.335852
205,AUBURN ST + CROQUET,43.706299,-70.290174
206,FOREST AVE + MORRILL,43.68676,-70.292594
207,MAIN ST + RIVERSIDE,43.677548,-70.331581
208,CONGRESS ST + FRANKLIN,43.660885,-70.254006
209,PULS,43.658464,-70.259673
210,MIDDLE RD + FALMOUTH,43.729127,-70.242087
211,FODEN RD + DARLING,43.63694,-70.32763
212,CONGRESS ST + 1945 CONGRESS,43.652889,-70.318901
213,EASTERN PROMENADE + CONGRESS,43.66773,-70.245771
214,WASHINGTON AVE + HARVARD,43.692568,-70.281858
215,STEVENS AVE + PROSPECT,43.667706,-70.295335
218,MARGINAL WAY + 87 MARGINAL,43.662526,-70.264059
220,WASHINGTON AVE + JOHANSEN,43.68321,-70.26346
221,MIDDLE ST + 188 MIDDLE,43.657098,-70.255731
222,BRIGHTON AVE + MACHIGONNE,43.669525,-70.30397
225,BRIDGE ST + FALMOUTH,43.686441,-70.362918
227,STEVENS AVE + POLAND,43.684489,-70.293756
229,CONGRESS ST + WALDO,43.658431,-70.311654
230,OXFORD ST + ALDER,43.658663,-70.262516
231,CONGRESS ST + 1717 CONGRESS,43.658634,-70.311623
232,MAIN ST + LOCUST,43.680049,-70.353315
233,CONGRESS ST + WHITNEY,43.657759,-70.291026
234,CONGRESS ST + INTERNATIONAL,43.652741,-70.318744
235,FORESIDE RD + RICKER,43.728311,-70.213848
237,CONGRESS ST + 1189 CONGRESS,43.656909,-70.288522
239,STEVENS AVE + PERCIVAL,43.676158,-70.294611
240,FORESIDE RD + APPLEGATE,43.73131,-70.212455
241,MAIN ST + 458 MAIN,43.681194,-70.34959
242,FORESIDE RD + 266 FORESIDE,43.73413,-70.208942
244,CONGRESS ST + DEERING,43.654091,-70.27253
245,FOREST AVE + 1037 FOREST,43.682985,-70.290597
247,EASTERN PROMENADE + TURNER,43.669606,-70.245827
249,TEMPLE ST + FEDERAL,43.657829,-70.257097
250,PORTLAND EXPO/HADLOCK,43.655938,-70.277371
251,JOHNSON RD + 94 JOHNSON,43.649078,-70.325515
252,STEVENS AVE + ARBOR,43.685082,-70.29349
255,ELM ST + LANCASTER,43.660441,-70.262256
256,STEVENS AVE + TWIN KNOLLS,43.660254,-70.297349
257,MAIN ST + TRAMWAY,43.681084,-70.351549
258,FOREST AVE + KENNEBEC,43.659226,-70.267293
260,CASCO BAY,43.657722,-70.249152
262,VERANDA ST + HAWTHORNE,43.684548,-70.253597
263,STEVENS AVE + ELMWOOD,43.682558,-70.293826
264,PROSPECT ST + SACO,43.670279,-70.372783
265,FRANKLIN,43.661444,-70.255832
